### **Data Mapping for Bronze Layer**

This data mapping document outlines the one-to-one ingestion of data from the source `credit_card` database into the BigQuery Bronze layer. The target tables are prefixed with `bz_` and include additional metadata columns to track data lineage and load times. All transformations are direct 1-1 mappings to preserve the raw data integrity.

| Target Layer | Target Table | Target Field | BigQuery Data Type | Source Layer | Source Table | Source Field | Source Data Type | Transformation Rule |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Bronze | bz_applicants | applicant_id | INT64 | Source | Applicants | applicant_id | INT | 1-1 Mapping |
| Bronze | bz_applicants | full_name | STRING | Source | Applicants | full_name | VARCHAR(100) | 1-1 Mapping |
| Bronze | bz_applicants | email | STRING | Source | Applicants | email | VARCHAR(100) | 1-1 Mapping |
| Bronze | bz_applicants | phone_number | STRING | Source | Applicants | phone_number | VARCHAR(15) | 1-1 Mapping |
| Bronze | bz_applicants | dob | DATE | Source | Applicants | dob | DATE | 1-1 Mapping |
| Bronze | bz_applicants | ssn | STRING | Source | Applicants | ssn | VARCHAR(11) | 1-1 Mapping |
| Bronze | bz_applicants | channel | STRING | Source | Applicants | channel | VARCHAR(50) | 1-1 Mapping |
| Bronze | bz_applicants | load_timestamp | TIMESTAMP | Ingestion Process | N/A | N/A | N/A | Generated during ingestion |
| Bronze | bz_applicants | update_timestamp | TIMESTAMP | Ingestion Process | N/A | N/A | N/A | Generated during ingestion |
| Bronze | bz_applicants | source_system | STRING | Ingestion Process | N/A | N/A | N/A | Generated during ingestion |
| Bronze | bz_applications | application_id | INT64 | Source | Applications | application_id | INT | 1-1 Mapping |
| Bronze | bz_applications | applicant_id | INT64 | Source | Applications | applicant_id | INT | 1-1 Mapping |
| Bronze | bz_applications | card_product_id | INT64 | Source | Applications | card_product_id | INT | 1-1 Mapping |
| Bronze | bz_applications | application_date | DATE | Source | Applications | application_date | DATE | 1-1 Mapping |
| Bronze | bz_applications | status | STRING | Source | Applications | status | VARCHAR(30) | 1-1 Mapping |
| Bronze | bz_applications | approval_date | DATE | Source | Applications | approval_date | DATE | 1-1 Mapping |
| Bronze | bz_applications | rejection_reason | STRING | Source | Applications | rejection_reason | VARCHAR(255) | 1-1 Mapping |
| Bronze | bz_applications | load_timestamp | TIMESTAMP | Ingestion Process | N/A | N/A | N/A | Generated during ingestion |
| Bronze | bz_applications | update_timestamp | TIMESTAMP | Ingestion Process | N/A | N/A | N/A | Generated during ingestion |
| Bronze | bz_applications | source_system | STRING | Ingestion Process | N/A | N/A | N/A | Generated during ingestion |
| Bronze | bz_card_products | card_product_id | INT64 | Source | Card_Products | card_product_id | INT | 1-1 Mapping |
| Bronze | bz_card_products | card_name | STRING | Source | Card_Products | card_name | VARCHAR(100) | 1-1 Mapping |
| Bronze | bz_card_products | category | STRING | Source | Card_Products | category | VARCHAR(50) | 1-1 Mapping |
| Bronze | bz_card_products | interest_rate | FLOAT64 | Source | Card_Products | interest_rate | FLOAT | 1-1 Mapping |
| Bronze | bz_card_products | annual_fee | FLOAT64 | Source | Card_Products | annual_fee | FLOAT | 1-1 Mapping |
| Bronze | bz_card_products | load_timestamp | TIMESTAMP | Ingestion Process | N/A | N/A | N/A | Generated during ingestion |
| Bronze | bz_card_products | update_timestamp | TIMESTAMP | Ingestion Process | N/A | N/A | N/A | Generated during ingestion |
| Bronze | bz_card_products | source_system | STRING | Ingestion Process | N/A | N/A | N/A | Generated during ingestion |
| Bronze | bz_credit_scores | credit_score_id | INT64 | Source | Credit_Scores | credit_score_id | INT | 1-1 Mapping |
| Bronze | bz_credit_scores | applicant_id | INT64 | Source | Credit_Scores | applicant_id | INT | 1-1 Mapping |
| Bronze | bz_credit_scores | score | INT64 | Source | Credit_Scores | score | INT | 1-1 Mapping |
| Bronze | bz_credit_scores | score_date | DATE | Source | Credit_Scores | score_date | DATE | 1-1 Mapping |
| Bronze | bz_credit_scores | load_timestamp | TIMESTAMP | Ingestion Process | N/A | N/A | N/A | Generated during ingestion |
| Bronze | bz_credit_scores | update_timestamp | TIMESTAMP | Ingestion Process | N/A | N/A | N/A | Generated during ingestion |
| Bronze | bz_credit_scores | source_system | STRING | Ingestion Process | N/A | N/A | N/A | Generated during ingestion |
| Bronze | bz_document_submissions | document_id | INT64 | Source | Document_Submissions | document_id | INT | 1-1 Mapping |
| Bronze | bz_document_submissions | application_id | INT64 | Source | Document_Submissions | application_id | INT | 1-1 Mapping |
| Bronze | bz_document_submissions | document_type | STRING | Source | Document_Submissions | document_type | VARCHAR(50) | 1-1 Mapping |
| Bronze | bz_document_submissions | upload_date | DATE | Source | Document_Submissions | upload_date | DATE | 1-1 Mapping |
