### **1) Overview**

This document provides a comprehensive data mapping specification for transforming data from the Bronze Layer to the Silver Layer within a Medallion architecture implemented on Google BigQuery. The primary goal of this Bronze-to-Silver process is to elevate raw, immutable source data into a cleansed, conformed, and enriched state, making it reliable and query-friendly for analytics, reporting, and further processing into the Gold Layer.

**Key Considerations and Approach:**

*   **Cleansing:** Basic data hygiene is applied to string fields, such as removing leading/trailing whitespace (`TRIM()`) and standardizing case (`UPPER()` or `LOWER()`) to ensure consistency.
*   **Validation:** Each attribute is subjected to a series of validation rules derived from DDL constraints (`NOT NULL`), business logic, and data quality recommendations. These rules include checks for completeness, uniqueness, referential integrity, valid formats (e.g., email regex), and plausible ranges (e.g., credit scores).
*   **Standardization & Conformance:** Source system values in categorical fields (e.g., application status, document types) are mapped to a standardized, enterprise-wide set of values. This ensures that data from different sources can be integrated and compared seamlessly.
*   **Enrichment:** New, business-relevant attributes are derived from existing data to add analytical value. Examples include calculating an applicant's `age_group` from their date of birth, deriving a `risk_tier` from a credit score, and creating an `income_level` from income data.
*   **PII (Personally Identifiable Information) Handling:** Sensitive data fields such as `ssn`, `email`, and `phone_number` are transformed using tokenization or masking functions to protect privacy while retaining their utility for joins and analysis. The specific transformation (`SHA256`, `FARM_FINGERPRINT`, or a call to a tokenization service) is specified.
*   **Error Handling and Auditing:** A robust error handling mechanism is central to this design. Any record that fails a validation rule during the transformation process is not discarded. Instead, it is rerouted to the `Silver.si_error_log` table. This table captures the original record, the specific rule that failed, and other metadata, enabling data stewards to diagnose and remediate quality issues. The entire pipeline execution is logged in the `Silver.si_audit_log` table, providing a complete audit trail of data movement, including rows read, written, and rejected.
*   **Technology:** All transformations and validation rules are designed to be implemented using BigQuery Standard SQL, leveraging its built-in functions for efficiency and scalability.

This mapping serves as the definitive guide for ETL/ELT developers to build the data pipelines that populate the Silver Layer, ensuring a foundation of high-quality, trusted data for the entire organization.

---

### **2) Data Mapping for the Silver Layer**

#### **Table: `si_applicants`**
This table stores conformed and cleansed applicant information, with PII fields masked or tokenized.

| Target Layer | Target Table | Target Field | Source Layer | Source Table | Source Field | Validation Rule | Transformation Rule |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Silver | si_applicants | applicant_id | Bronze | bz_applicants | applicant_id | NOT NULL; UNIQUE | Direct mapping. |
| Silver | si_applicants | full_name | Bronze | bz_applicants | full_name | NOT NULL | `UPPER(TRIM(full_name))` |
| Silver | si_applicants | email | Bronze | bz_applicants | email | NOT NULL; VALID FORMAT (REGEX: `r'^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$'`) | **PII Masking:** `SHA256(LOWER(TRIM(email)))` |
| Silver | si_applicants | phone_number | Bronze | bz_applicants | phone_number | VALID FORMAT (e.g., check for length after stripping non-digits) | **PII Masking:** `SHA256(REGEXP_REPLACE(phone_number, r'[^0-9]', ''))` |
| Silver | si_applicants | dob | Bronze | bz_applicants | dob | NOT NULL; Must be a valid date in the past. | Direct mapping. |
| Silver | si_applicants | age_group | Bronze | bz_applicants | dob | Applicant must be >= 18 years old at time of application (checked in `si_applications` logic). | **Enrichment:** `CASE WHEN DATE_DIFF(CURRENT_DATE(), dob, YEAR) BETWEEN 18 AND 24 THEN '18-24' WHEN DATE_DIFF(CURRENT_DATE(), dob, YEAR) BETWEEN 25 AND 34 THEN '25-34' ... ELSE 'Other' END` |
| Silver | si_applicants | ssn | Bronze | bz_applicants | ssn | VALID FORMAT (e.g., 9 digits) | **PII Tokenization:** `SHA256(TRIM(ssn))` |
| Silver | si_applicants | channel | Bronze | bz_applicants | channel | NOT NULL | `UPPER(TRIM(channel))` |
| Silver | si_applicants | load_timestamp | Bronze | bz_applicants | load_timestamp | NOT NULL | `CURRENT_TIMESTAMP()` |
| Silver | si_applicants | update_timestamp | Bronze | bz_applicants | update_timestamp | - | Direct mapping. |
| Silver | si_applicants | source_system | Bronze | bz_applicants | source_system | NOT NULL | Direct mapping. |

#### **Table: `si_card_products`**
This table serves as a conformed dimension for all available credit card products.

| Target Layer | Target Table | Target Field | Source Layer | Source Table | Source Field | Validation Rule | Transformation Rule |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
